product_id,product_name,product_price,product_image,product_link,product_store,product_category,product_ratings,rating_count,product_description,fetch_date
154,HP EF2126WM 15.6 Inches AMD Ryzen 5 (8GB RAM - 256GB SSD),"Rs. 106,999",https://images.priceoye.pk/hp-ef2126wm-15-6-inches-amd-ryzen-5-8gb-ram-256gb-ssd-pakistan-priceoye-6ur1b-270x270.webp,https://priceoye.pk/laptops/hp/hp-ef2126wm-15-6-inches-amd-ryzen-5-8gb-ram-256gb-ssd,PriceOye,"Laptops, HP, Notebook, Elitebook, ProBook, Zbook, Envy, Spectre, Omen, Dragonfly, victus",5.0,1 Ratings,"{'Display': '15.6 Inches', 'Generation': 'AMD', 'Processor': 'AMD Ryzen 5 5500U', 'Internal Memory': '256GB SSD'}",2023-12-03
155,HP EliteBook Folio x360 13.3 Inches Core i7(16GB RAM - 256GB SSD),"Rs. 162,000",https://images.priceoye.pk/hp-elitebook-folio-x360-13-3-inches-core-i7-16gb-ram-256gb-ssd-pakistan-priceoye-lj9k0-270x270.webp,https://priceoye.pk/laptops/hp/hp-elitebook-folio-x360-13-3-inches-core-i7-16gb-ram-256gb-ssd,PriceOye,"Laptops, HP, Notebook, Elitebook, ProBook, Zbook, Envy, Spectre, Omen, Dragonfly, victus",5.0,1 Ratings,"{'Display': '13.3 Inches', 'Generation': '08th Generation', 'Processor': 'Intel Core i7', 'Internal Memory': '256GB SSD'}",2023-12-03
156,HP ZBook Studio G5 15.6 Inches Core i7(8GB RAM - 256GB SSD),"Rs. 162,000",https://images.priceoye.pk/hp-zbook-studio-g5-mobile-workstation-15-6-inches-core-i7-8gb-ram-256gb-ssd-pakistan-priceoye-mqosk-270x270.webp,https://priceoye.pk/laptops/hp/hp-zbook-studio-g5-mobile-workstation-15-6-inches-core-i7-8gb-ram-256gb-ssd,PriceOye,"Laptops, HP, Notebook, Elitebook, ProBook, Zbook, Envy, Spectre, Omen, Dragonfly, victus",5.0,1 Ratings,"{'Display': '15.6 Inches', 'Generation': '08th Generation', 'Processor': 'Intel Core i7', 'Internal Memory': '256GB SSD'}",2023-12-03
157,HP Spectre x360 13.3 Inches Core i7 (16GB RAM - 512GB SSD),"Rs. 193,000",https://images.priceoye.pk/hp-spectre-x360-aw0239tu-13-3-inches-core-i7-16gb-ram-512gb-ssd-pakistan-priceoye-ictaq-270x270.webp,https://priceoye.pk/laptops/hp/hp-spectre-x360-aw0239tu-13-3-inches-core-i7-16gb-ram-512gb-ssd,PriceOye,"Laptops, HP, Notebook, Elitebook, ProBook, Zbook, Envy, Spectre, Omen, Dragonfly, victus",5.0,1 Ratings,"{'Display': '13.3 Inches', 'Generation': '10th Generation', 'Processor': 'Intel Core i7', 'Internal Memory': '512GB SSD'}",2023-12-03
158,HP ZBook 9750H 15.6 Inches Core i7 (16GB RAM - 512GB SSD),"Rs. 220,000",https://images.priceoye.pk/hp-zbook-9750h-15-6-inches-core-i7-16gb-ram-512gb-ssd-pakistan-priceoye-t389c-270x270.webp,https://priceoye.pk/laptops/hp/hp-zbook-9750h-15-6-inches-core-i7-16gb-ram-512gb-ssd,PriceOye,"Laptops, HP, Notebook, Elitebook, ProBook, Zbook, Envy, Spectre, Omen, Dragonfly, victus",5.0,1 Ratings,"{'Display': '15.6 Inches', 'Generation': '9th Generation', 'Processor': 'Intel Core i7', 'Internal Memory': '512GB SSD'}",2023-12-03
159,HP Pavilion EH1070WM 15.6 Inches AMD Ryzen 7(8GB RAM - 512GB SSD),"Rs. 140,000",https://images.priceoye.pk/hp-pavilion-eh1070wm-15-6-inches-amd-ryzen-7-8gb-ram-512gb-ssd-pakistan-priceoye-k800x-270x270.webp,https://priceoye.pk/laptops/hp/hp-pavilion-eh1070wm-15-6-inches-amd-ryzen-7-8gb-ram-512gb-ssd,PriceOye,"Laptops, HP, Notebook, Elitebook, ProBook, Zbook, Envy, Spectre, Omen, Dragonfly, victus",5.0,1 Ratings,"{'Display': '15.6 Inches', 'Generation': 'AMD', 'Processor': 'AMD Ryzen 7 5700U', 'Internal Memory': '512GB SSD'}",2023-12-03
160,HP FQ5098TU 15.6 Inches Core i5 12Gen (8GB RAM - 512GBSSD),"Rs. 201,499",https://images.priceoye.pk/hp-fq5098tu-15-6-inches-core-i5-12gen-8gb-ram-512gbssd-pakistan-priceoye-idhkj-270x270.webp,https://priceoye.pk/laptops/hp/hp-fq5098tu-15-6-inches-core-i5-12gen-8gb-ram-512gbssd,PriceOye,"Laptops, HP, Notebook, Elitebook, ProBook, Zbook, Envy, Spectre, Omen, Dragonfly, victus",5.0,1 Ratings,"{'Display': '15.6 Inches', 'Generation': '12th Gen', 'Processor': 'Intel Core i5 12th Generation', 'Internal Memory': '512 GB'}",2023-12-03
161,Apple MacBook Pro 13 Inches Core i5 (8GB-512GB),"Rs. 265,999",https://images.priceoye.pk/apple-macbookk-pro-13-inch-core-i5-m2-chip-8gb-ram-512gb-ssd-a2289-pakistan-priceoye-sx97j-270x270.webp,https://priceoye.pk/laptops/apple/apple-macbook-pro-13-inches-core-i5-8gb-512gb,PriceOye,"Laptops, Apple, Moshi, Targus, Ugreen, Wiwu, Macbook Air, Macbook Pro",5.0,1 Ratings,"{'Display': '13.3-inches', 'Generation': '8th Generation', 'Processor': 'Intel Core i5 1.4GHz quad-core (8257U)', 'Internal Memory': '512 GB'}",2023-12-03
162,Apple MacBook Pro 13 Inches M2 Chip (MNEJ3),"Rs. 599,999",https://images.priceoye.pk/apple-macbook-pro-13-inches-m2-chip-mnej3-pakistan-priceoye-emlsr-270x270.webp,https://priceoye.pk/laptops/apple/apple-macbook-pro-13-inches-m2-chip-mnej3,PriceOye,"Laptops, Apple, Moshi, Targus, Ugreen, Wiwu, Macbook Air, Macbook Pro",5.0,1 Ratings,"{'Display': '13.3 inches', 'Generation': 'M2', 'Processor': 'M2 8-core CPU', 'Internal Memory': '256 GB SSD'}",2023-12-03
163,Apple MacBook Pro 16.0 Inches M1 Chip (MK183) Japanese Version (ENG Keyboard),"Rs. 550,000",https://images.priceoye.pk/apple-macbook-pro-16-2-inches-m1-pro-chip-16gb-ram-512gb-ssd-mk183-pakistan-priceoye-ngioh-270x270.webp,https://priceoye.pk/laptops/apple/apple-macbook-pro-16-2-inches-m1-pro-chip-16gb-ram-512gb-ssd-mk183,PriceOye,"Laptops, Apple, Moshi, Targus, Ugreen, Wiwu, Macbook Air, Macbook Pro",5.0,1 Ratings,"{'Display': '16.2 Inches', 'Generation': 'M1', 'Processor': 'Apple M1 Pro chip', 'Internal Memory': '512GB SSD'}",2023-12-03
